"No.","Time","Source","Destination","Protocol","Length","Info"
"20327","491.732986","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20328","491.732986","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20329","491.732986","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20330","491.732986","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20331","491.732986","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20332","491.732986","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20333","491.732990","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20334","491.733043","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20335","491.733092","192.168.50.94","173.194.25.39","QUIC","78","Protected Payload (KP0), DCID=f7e510e85da62677"
"20336","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20337","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20338","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20339","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20340","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20341","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20342","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20343","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20344","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20345","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20346","491.734867","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20347","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20348","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20349","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20350","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20351","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20352","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20353","491.734938","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
